ยี่ห้อ,ปีที่ออกขายครั้งแรก,ราคาขายมือสอง,กิโลเมตรที่ขับไปแล้ว,ประเภทเชื้อเพลิง,ประเภทผู้ขายรถ,ประเภทเกียร์,จำนวนเจ้าของรถในอดีต
Suzuki,2007,60000,70000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2007,135000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Verna 1.6 SX,2012,600000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Mitsubishi,2017,250000,46000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2014,450000,141000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2007,140000,125000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2014,240000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Creta 1.6 VTVT S,2015,850000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2017,365000,78000,CNG,เจ้าของขายเอง,Manual,1
Chevrolet,2015,260000,35000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2014,250000,100000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2018,1650000,25000,เบนซิน,เต๊นท์รถ,Automatic,1
Suzuki,2007,60000,70000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2007,135000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Verna 1.6 SX,2012,600000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Mitsubishi,2017,250000,46000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2014,450000,141000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2007,140000,125000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2014,240000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Creta 1.6 VTVT S,2015,850000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
